,RMSE,bsl_options,params,scores
26,0.9998357179159434,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 4.5}}",{'RMSE': 0.99983571791594339}
27,0.9998340697958701,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 8.0}}",{'RMSE': 0.99983406979587008}
28,0.9998331437399403,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 11.5}}",{'RMSE': 0.99983314373994026}
29,0.9998321764568476,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 15.0}}",{'RMSE': 0.99983217645684763}
30,1.000146310766478,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 1.0}}",{'RMSE': 1.0001463107664781}
31,0.999587338277891,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 4.5}}",{'RMSE': 0.99958733827789104}
32,0.9995762081094122,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 8.0}}",{'RMSE': 0.99957620810941217}
33,0.9995710301380899,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 11.5}}",{'RMSE': 0.9995710301380899}
34,0.9995665825912681,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 10.0, 'n_epochs': 15.0}}",{'RMSE': 0.99956658259126807}
35,1.000103896252683,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 1.0}}",{'RMSE': 1.0001038962526829}
36,0.9995455451216289,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 4.5}}",{'RMSE': 0.99954554512162885}
37,0.9995220468114283,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 8.0}}",{'RMSE': 0.99952204681142831}
38,0.999512973808852,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 11.5}}",{'RMSE': 0.99951297380885196}
39,0.9995063493728671,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 15.0, 'n_epochs': 15.0}}",{'RMSE': 0.99950634937286709}
40,1.0001943988058202,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 1.0}}",{'RMSE': 1.0001943988058202}
41,0.9996313368303762,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 4.5}}",{'RMSE': 0.99963133683037619}
42,0.9995968137543645,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 8.0}}",{'RMSE': 0.99959681375436449}
43,0.9995855304481647,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 11.5}}",{'RMSE': 0.99958553044816467}
44,0.9995783818715275,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 20.0, 'n_epochs': 15.0}}",{'RMSE': 0.99957838187152748}
45,1.0003721289681107,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 1.0}}",{'RMSE': 1.0003721289681107}
46,0.9998013610252541,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 4.5}}",{'RMSE': 0.99980136102525408}
47,0.9997584896674239,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 8.0}}",{'RMSE': 0.99975848966742387}
48,0.9997464412030954,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 11.5}}",{'RMSE': 0.99974644120309542}
49,0.9997397320117937,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 25.0, 'n_epochs': 15.0}}",{'RMSE': 0.99973973201179367}
